I am pretty good when it comes to balls and holes. Nohomo,1,0,en
"People will always ask the same question ""Will this 2K game be worth it this year?"". My answer to that, is yes. While 2K has struggled over the past few years to finally find it's mark with games, this game is totally different from your normal 2K WWE game. This game has it's own style and it clearly shows within the game. The only real downside of this game would be the need to unlock every superstar and the lack of content. 2K as always has payable coins in game to unlock superstars. You can either put in a bunch of hours to unlock each and every superstar or go out the quick way and just buy them. However, this does not take away from the breath of fresh air this game brings to the table. 2K has stepped it up by giving us a fresh fun video game. There is no realism in this game, it is a very arcade/superpower packed game. This is a game every wrestling fan should pick up due to the fresh air this game brings to the world of wrestling games.",1,0,en
Altis Life is so much fun,1,0,en
"To make it simple, Rider of Tomb Raider is very very Tomb Raider and above all a good Action-Adventure. The first thing that will jump in your eyes is the graphic prowess even for 2019. The exploration aspect is more present than in the previous opus by its environment still semi-open world but with larger areas with more points of interest. 'interests. The gameplay is still dynamic and new mechanics are integrated to make travel more diverse. The leveling is not really useful and on some point too useful but enough to give an impression of evolution. The scenario is in no way neglected, he knew, at least for me, keep me in suspense all along the game. Like almost all Tomb Raiders, I recommend it!",1,0,en
legendary gra polecam cieplutko :^&(,1,0,en
"Neat top-down game with huge focus on dodging and frame/pattern recognition, with it's own share of bull. But that's to be expected. Some girl designs though, ♥♥♥♥♥♥♥ :eyes:   I hope there will be variety between starting levels in the future, because seeing same background for several runs gets old fast.  And gotta say, some mechanics really surprised me, i just wanted to withdraw some coins, got a spook instead. If you like methodical combat you can get this for sure.",1,1,en
"Aside from being a furry's wet dream, Dust is actually a really good game.",1,0,en
It is beautiful and very fun game. It was a gift from my friend and I enjoyed every second of it. I finished it but still playing to open the map more and get the true ending.,1,0,en
good,1,0,en
fun,1,0,en
"Its more HITMAN 2016, but so refined and very closr to perfection.",1,0,en
 ,1,0,en
Realism and conduct of staff.,1,0,en
I should regret my purchase. But I do not. I am a filthy weeb,1,0,en
"Its fun to design combat machines, butone needs twenty hours of tutorial from youtube before that can happen. good game overall",1,1,en
"Rememoried is a first-person adventure game, focused on the ideas of dreams and memories with surrealistic, explorative and puzzle-solving settings. The way you advance in the game is by looking away from your surroundings, elements in the environment, and other important objects for they’ll constantly change shape and create a new path. “You count the stars above your head just like the one who pointed a finger at you from the unknown. The closer you get to infinity, the more you get lost in the numbers created to describe the real world, and your eyelids become curtains that hide unexpected discoveries beyond the borders, reached by only the strongest thoughts. This exciting play for one spectator is a reward for everyday gifts of the mind.” The game is visually stunning, along the sound of flowing water combined with the elegant classical and eerie electronic music.  This combined with a breathtaking environment makes the game incredibly relaxing if you just explore and don’t focus on the objective. At times the game can be frustrating or difficult to discover what your objective is for a specific level.  All individually difficult to figure out which requires patience to get into its mechanics yet not impossible to beat them.   But overall, I still had a blast playing through this small indie title. A beautiful game with an equally relaxing soundtrack! Definitely worth a try!  9/10",1,0,en
I highly recommend this Story Rich game. This game is filled with ample amounts of mystery and emotions. Very in depth story line. Just one thing to add.  DON'T get too attached to any of the characters.,1,0,en
"Its a great game but there is something offensive it the boss thats called ""michael"" and she has a angel texture im a muslim and in my religion we have angels and one of them is called michael would be great if you could change the name...",1,0,en
hat simulator 2000,1,0,en
Very funny game  :),1,0,en
this game is for homosexuals,1,0,en
Better gameplay and port than other two. Really recommended for FF fan with something new battle mechanic.,1,0,en
Great game!,1,1,en
this merchandise is great man.,1,0,en
"My penis was tired after I installed the patch file, the quality is good lol",1,0,en
Spicy meatball / 10,1,1,en
"An interesting game - This game is like a set of stories in a main history , the main character is Edith Finch  . A girl who comes back to her old house in the state of Washington in the US  to try to research the strange histories that happened in the house to her family members .   - As i said it  is like a set of stories because every bedroom has an interesting history that catches you   about what happened with the the owner of the bedroom as  main character of the small history  .  - The gameplay is easy and simple , walk Interact with the environment  and explore .  - The graphics are really beautiful and same is  the soundtrack .  - The only bad is this game is short but it  is worth .   - I recommend this game",1,0,en
Very fun game with a very friendly community! :),1,0,en
ok Good.,1,1,en
You get 10 seconds to buy this game before I add you to the list of gamer wannabe casualties.,1,0,en
"Game so good... But if you do not have a team or a premade, it's an adventure into the hell of feeders, toxic people and noobs. Communication is one of the most important factors in addition to the tactics and strategies. +Different types of heroes. +Various types of game. +Excellent graphics setting. +Wombo combo -Do not play Russian server, many toxic people.",1,0,en
"Anyway the game isn't so bad and boring. Why this game is cool: Why this game sucks: Surely not the best game from Telltale Games and not the worst one. I would recommend this game to anyone who loves TTG games, comics, DC, Vertigo, tales, fables, pigs, wolfs, monkeys, princesses, ♥♥♥♥♥♥, alcohol e t. c. For everyone, who didn't understand the ending:",1,0,en
I love this game very much😘,1,0,en
"lmao wtf was this game, good thing this was a gift LOL, but yea im waiting for the trading cards KEKW",1,0,en
6.75/10,1,0,en
I hate this game,1,0,en
Intresting game,1,1,en
"For those who played the heck out of the previous incarnations of CS, you may as well grab this one, as well.  It comes with new maps, new gameplay options, and a couple of the more popular game modes (previously mods) to play with.  Overall, worth the low price for more CS goodness.  Join your friends online and shoot them!",1,0,en
"Good game takes awhile getting used too might have to look up some tutorials if you're new to this (cough*me*cough) Worth the price? Yes Replay rate high? Ofcourse Is this game for everyone? Pfft... no one can please everyone - but this game pleases many :) (over 3,400) compared to the (500) so that says alot. Endless space is one of those game's you grow to love the more you play. It's an amazing 4x strategy game with countless possible outcomes. You can play as a dozen races. Each with their own Perks and flaws. Maybe you'd want to create a race that is more customized to you this game also offers that. There is limitless Possibilities ^_^. This is one game title you should give a try if you love the genre :) Anyways i'd rate the game 8/10 overall Hope you get the game and enjoy it! Cheers - Ploogie",1,0,en
This game is actually really good. For people who like Stardew Valley this is a good game to get if that gets a bit stale. 10/10 just wish I had people to play it with.,1,0,en
General Tani approves.,1,0,en
+,1,0,en
Skyaa,1,0,en
"I have to admit that when i first heard about this game, i really thought it was too overrated. But when i started playing the game, i kinda understood why it became so famous. It is really fun to play with friends. Many laughs and jokes are given playing this game. It's not hard to learn and it has a tutorial guide and bot practise. Eventhought it doesn't have very good graphics or mechanics like actual games, it is still a good game to buy for 3,99 euros. I really recommend it!",1,0,en
i cant go on multiplayer?,1,1,en
10/10. Would play again!,1,0,en
"Amazing Game. It works hand-in-hand with my crippling autism and allows me to express myself in a way that makes people not just ignore me, but actively hate me in a very bovious way. You should add an option that allows me to embed sand into the bearing so it makes pleasant griding sounds. 11/10.",1,0,en
"; It's worth it when it goes on sale, which these packs tend to do. At full price you'd be sacrificing some platinum for a pretty good looking skin (imo), and some useful things like the 3day boosters & the exilus adapter. The mods in these packs are (almost?) never worth it though, even if you're new.",1,0,en
a game i wouldnt play,1,0,en
"Pros: -Funny game -Looks directly like the show, graphically -Optimised perfectly (runs at 30FPS, which is how Obsidian manages to make animations run like the show) -""Moo, Moo, Moo?"" - Aliens -On sale, the price is a robbery -Doesn't rely on uPlay launcher -You can become a Jew, but Cartman wouldn't be friends with you -Many fun & different variety of sidequests -Apparently(?), Console version had censorship (never played this on console) but Steam version is uncensored. -""Nazi Zombies are overused"" Cons: -Had audio desync on the first cutscene with few stuttering Improvements? : -Maybe a survival side mode? Overall Score? 10/10 Currently, binge-playing this game.",1,0,en
i would is it's one of the AAA clasic crysis best game ever till now .,1,0,en
hell yeahh,1,0,en
SUch a good game but im not to sure about its engine it seems to be running well at points but the glitches overall the fun that you get from the game... really need to fix the bugs before adding more things into the game...,1,0,en
I love the game so so much the story is the best in any halo games in my opinion but the controller aspect really drags it down I don't find it enjoyable how they've done the over tune of the aim assist it's really frustrating to play against and since i'm a competitive guy I don't like people who can auto adjust to your head and kill u in 3 shots while u have to actually do something  but great campaign and great multiplayer all in all just a few things that drag it down and it's only gonna get better when they add forge,1,0,en
"I'm disappointed this game is being shut down soon; I thought it struck a nicely playable balance between traditional FPSs such as Counterstrike, and MOBAs such as Overwatch. The voice talents of the actually excellent English anime dub were a real treat too. As a final salute, I've nominated this game as a write-in ballot for the 2017 Steam Awards as ""Doesn't Deserve To Be Shut Down"", and encourage you to do the same. Farewell, GitS: SAC - FAO.",1,0,en
very cool game,1,0,en
Crazy fun game and quite challenging when playing couch co-op. One should not go by the visuals of the game. The game is really engaging and challenging. It's a really great party game to play couch co-op with your loved ones. Recommend this game to everyone who is looking for some local co-op fun.,1,0,en
